ICP Bucket,Company,Target Role / Contact,Industry / Sector,Company Size,Comment,Linkedin,Email,Full Name,Guessed Domain,Linkedin,Email,Full Name,Guessed Domain
Non-ICP,CEMEX UK Operations Limited,CIO,Manufacturing,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=CEMEX UK Operations Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=CEMEX UK Operations Limited,,,
Non-ICP,CEMEX UK Operations Limited,Chief Customer Officer,Manufacturing,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=CEMEX UK Operations Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=CEMEX UK Operations Limited,,,
Non-ICP,Coca-Cola Europacific Partners Services EU Ltd,Head of Customer Experience,Manufacturing,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Coca-Cola Europacific Partners Services EU Ltd,,,,https://www.linkedin.com/search/results/companies/?keywords=Coca-Cola Europacific Partners Services EU Ltd,,,
Non-ICP,Coca-Cola Europacific Partners Services EU Ltd,Director Customer Experience,Manufacturing,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Coca-Cola Europacific Partners Services EU Ltd,,,,https://www.linkedin.com/search/results/companies/?keywords=Coca-Cola Europacific Partners Services EU Ltd,,,
Non-ICP,Coca-Cola Europacific Partners Services EU Ltd,CIO,Manufacturing,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Coca-Cola Europacific Partners Services EU Ltd,,,,https://www.linkedin.com/search/results/companies/?keywords=Coca-Cola Europacific Partners Services EU Ltd,,,
Non-ICP,Coca-Cola Europacific Partners Services EU Ltd,Chief Customer Officer,Manufacturing,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Coca-Cola Europacific Partners Services EU Ltd,,,,https://www.linkedin.com/search/results/companies/?keywords=Coca-Cola Europacific Partners Services EU Ltd,,,
Watchlist,COMPASS SERVICES (U.K.) LTD,Head of Customer Experience,Retail & Consumer Goods,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=COMPASS SERVICES (U.K.) LTD,,,,https://www.linkedin.com/search/results/companies/?keywords=COMPASS SERVICES (U.K.) LTD,,,
Watchlist,COMPASS SERVICES (U.K.) LTD,Director Customer Experience,Retail & Consumer Goods,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=COMPASS SERVICES (U.K.) LTD,,,,https://www.linkedin.com/search/results/companies/?keywords=COMPASS SERVICES (U.K.) LTD,,,
Watchlist,COMPASS SERVICES (U.K.) LTD,CIO,Retail & Consumer Goods,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=COMPASS SERVICES (U.K.) LTD,,,,https://www.linkedin.com/search/results/companies/?keywords=COMPASS SERVICES (U.K.) LTD,,,
Watchlist,COMPASS SERVICES (U.K.) LTD,Chief Customer Officer,Retail & Consumer Goods,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=COMPASS SERVICES (U.K.) LTD,,,,https://www.linkedin.com/search/results/companies/?keywords=COMPASS SERVICES (U.K.) LTD,,,
Non-ICP,Computacenter (UK) LTD,Head of Customer Experience,Business Services,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Computacenter (UK) LTD,,,,https://www.linkedin.com/search/results/companies/?keywords=Computacenter (UK) LTD,,,
Non-ICP,Computacenter (UK) LTD,Director Customer Experience,Business Services,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Computacenter (UK) LTD,,,,https://www.linkedin.com/search/results/companies/?keywords=Computacenter (UK) LTD,,,
Non-ICP,Computacenter (UK) LTD,CIO,Business Services,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Computacenter (UK) LTD,,,,https://www.linkedin.com/search/results/companies/?keywords=Computacenter (UK) LTD,,,
Non-ICP,Computacenter (UK) LTD,Chief Customer Officer,Business Services,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Computacenter (UK) LTD,,,,https://www.linkedin.com/search/results/companies/?keywords=Computacenter (UK) LTD,,,
Watchlist,Computershare Technology Services (UK) Limited,Head of Customer Experience,Banking & Financial Services,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Computershare Technology Services (UK) Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Computershare Technology Services (UK) Limited,,,
Watchlist,Computershare Technology Services (UK) Limited,Director Customer Experience,Banking & Financial Services,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Computershare Technology Services (UK) Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Computershare Technology Services (UK) Limited,,,
Watchlist,Computershare Technology Services (UK) Limited,CIO,Banking & Financial Services,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Computershare Technology Services (UK) Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Computershare Technology Services (UK) Limited,,,
Watchlist,Computershare Technology Services (UK) Limited,Chief Customer Officer,Banking & Financial Services,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Computershare Technology Services (UK) Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Computershare Technology Services (UK) Limited,,,
Watchlist,Connect Distribution Services Limited,Head of Customer Experience,Retail,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=Connect Distribution Services Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Connect Distribution Services Limited,,,
Watchlist,Connect Distribution Services Limited,Director Customer Experience,Retail,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=Connect Distribution Services Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Connect Distribution Services Limited,,,
Watchlist,Connect Distribution Services Limited,CIO,Retail,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=Connect Distribution Services Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Connect Distribution Services Limited,,,
Watchlist,Connect Distribution Services Limited,Chief Customer Officer,Retail,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=Connect Distribution Services Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Connect Distribution Services Limited,,,
Watchlist,Coventry Building Society,Head of Customer Experience,Banking & Financial Services,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=Coventry Building Society,,Coventry House,coventrybuildingsociety.co.uk,https://www.linkedin.com/search/results/companies/?keywords=Coventry Building Society,,Coventry House,coventrybuildingsociety.co.uk
Watchlist,Coventry Building Society,Director Customer Experience,Banking & Financial Services,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=Coventry Building Society,,Coventry House,coventrybuildingsociety.co.uk,https://www.linkedin.com/search/results/companies/?keywords=Coventry Building Society,,Coventry House,coventrybuildingsociety.co.uk
Watchlist,Coventry Building Society,CIO,Banking & Financial Services,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=Coventry Building Society,,Coventry House,coventrybuildingsociety.co.uk,https://www.linkedin.com/search/results/companies/?keywords=Coventry Building Society,,Coventry House,coventrybuildingsociety.co.uk
Watchlist,Coventry Building Society,Chief Customer Officer,Banking & Financial Services,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=Coventry Building Society,,Coventry House,coventrybuildingsociety.co.uk,https://www.linkedin.com/search/results/companies/?keywords=Coventry Building Society,,Coventry House,coventrybuildingsociety.co.uk
Watchlist,DAMARTEX UK LIMITED,Head of Customer Experience,Retail,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=DAMARTEX UK LIMITED,,,,https://www.linkedin.com/search/results/companies/?keywords=DAMARTEX UK LIMITED,,,
Watchlist,DAMARTEX UK LIMITED,Director Customer Experience,Retail,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=DAMARTEX UK LIMITED,,,,https://www.linkedin.com/search/results/companies/?keywords=DAMARTEX UK LIMITED,,,
Watchlist,DAMARTEX UK LIMITED,CIO,Retail,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=DAMARTEX UK LIMITED,,,,https://www.linkedin.com/search/results/companies/?keywords=DAMARTEX UK LIMITED,,,
Watchlist,DAMARTEX UK LIMITED,Chief Customer Officer,Retail,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=DAMARTEX UK LIMITED,,,,https://www.linkedin.com/search/results/companies/?keywords=DAMARTEX UK LIMITED,,,
Non-ICP,Der Touristik UK Limited,Head of Customer Experience,Travel & Hospitality,5 001 - 10 000,,https://www.linkedin.com/search/results/companies/?keywords=Der Touristik UK Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Der Touristik UK Limited,,,
Non-ICP,Der Touristik UK Limited,Director Customer Experience,Travel & Hospitality,5 001 - 10 000,,https://www.linkedin.com/search/results/companies/?keywords=Der Touristik UK Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Der Touristik UK Limited,,,
Non-ICP,Der Touristik UK Limited,CIO,Travel & Hospitality,5 001 - 10 000,,https://www.linkedin.com/search/results/companies/?keywords=Der Touristik UK Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Der Touristik UK Limited,,,
Non-ICP,Der Touristik UK Limited,Chief Customer Officer,Travel & Hospitality,5 001 - 10 000,,https://www.linkedin.com/search/results/companies/?keywords=Der Touristik UK Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Der Touristik UK Limited,,,
Watchlist,DUNELM (SOFT FURNISHINGS) LTD,Head of Customer Experience,Retail,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=DUNELM (SOFT FURNISHINGS) LTD,,,,https://www.linkedin.com/search/results/companies/?keywords=DUNELM (SOFT FURNISHINGS) LTD,,,
Watchlist,DUNELM (SOFT FURNISHINGS) LTD,Director Customer Experience,Retail,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=DUNELM (SOFT FURNISHINGS) LTD,,,,https://www.linkedin.com/search/results/companies/?keywords=DUNELM (SOFT FURNISHINGS) LTD,,,
Watchlist,DUNELM (SOFT FURNISHINGS) LTD,CIO,Retail,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=DUNELM (SOFT FURNISHINGS) LTD,,,,https://www.linkedin.com/search/results/companies/?keywords=DUNELM (SOFT FURNISHINGS) LTD,,,
Watchlist,DUNELM (SOFT FURNISHINGS) LTD,Chief Customer Officer,Retail,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=DUNELM (SOFT FURNISHINGS) LTD,,,,https://www.linkedin.com/search/results/companies/?keywords=DUNELM (SOFT FURNISHINGS) LTD,,,
Watchlist,Dyson Technology Limited,Head of Customer Experience,Retail & Consumer Goods,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=Dyson Technology Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Dyson Technology Limited,,,
Watchlist,Dyson Technology Limited,Director Customer Experience,Retail & Consumer Goods,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=Dyson Technology Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Dyson Technology Limited,,,
Watchlist,Dyson Technology Limited,CIO,Retail & Consumer Goods,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=Dyson Technology Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Dyson Technology Limited,,,
Watchlist,Dyson Technology Limited,Chief Customer Officer,Retail & Consumer Goods,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=Dyson Technology Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Dyson Technology Limited,,,
Non-ICP,Emovis,Head of Customer Experience,Business Services,501 - 1 000,,https://www.linkedin.com/search/results/companies/?keywords=Emovis,,Solutions Providing,emovis.com,https://www.linkedin.com/search/results/companies/?keywords=Emovis,,Solutions Providing,emovis.com
Non-ICP,Emovis,Director Customer Experience,Business Services,501 - 1 000,,https://www.linkedin.com/search/results/companies/?keywords=Emovis,,Solutions Providing,emovis.com,https://www.linkedin.com/search/results/companies/?keywords=Emovis,,Solutions Providing,emovis.com
Non-ICP,Emovis,CIO,Business Services,501 - 1 000,,https://www.linkedin.com/search/results/companies/?keywords=Emovis,,Solutions Providing,emovis.com,https://www.linkedin.com/search/results/companies/?keywords=Emovis,,Solutions Providing,emovis.com
Non-ICP,Emovis,Chief Customer Officer,Business Services,501 - 1 000,,https://www.linkedin.com/search/results/companies/?keywords=Emovis,,Solutions Providing,emovis.com,https://www.linkedin.com/search/results/companies/?keywords=Emovis,,Solutions Providing,emovis.com
Non-ICP,Enfield Council,Head of Customer Experience,Government & Public Sector,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=Enfield Council,,Developers Terms,enfieldcouncil.co.uk,https://www.linkedin.com/search/results/companies/?keywords=Enfield Council,,Developers Terms,enfieldcouncil.co.uk
Non-ICP,Enfield Council,Director Customer Experience,Government & Public Sector,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=Enfield Council,,Developers Terms,enfieldcouncil.co.uk,https://www.linkedin.com/search/results/companies/?keywords=Enfield Council,,Developers Terms,enfieldcouncil.co.uk
Non-ICP,Enfield Council,CIO,Government & Public Sector,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=Enfield Council,,Developers Terms,enfieldcouncil.co.uk,https://www.linkedin.com/search/results/companies/?keywords=Enfield Council,,Developers Terms,enfieldcouncil.co.uk
Non-ICP,Enfield Council,Chief Customer Officer,Government & Public Sector,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=Enfield Council,,Developers Terms,enfieldcouncil.co.uk,https://www.linkedin.com/search/results/companies/?keywords=Enfield Council,,Developers Terms,enfieldcouncil.co.uk
Non-ICP,Entain Operations Limited,Head of Customer Experience,Media & Entertainment,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Entain Operations Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Entain Operations Limited,,,
Non-ICP,Entain Operations Limited,Director Customer Experience,Media & Entertainment,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Entain Operations Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Entain Operations Limited,,,
Non-ICP,Entain Operations Limited,CIO,Media & Entertainment,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Entain Operations Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Entain Operations Limited,,,
Non-ICP,Entain Operations Limited,Chief Customer Officer,Media & Entertainment,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Entain Operations Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Entain Operations Limited,,,
Non-ICP,EQUANS Holding UK Limited,Head of Customer Experience,Business Services,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=EQUANS Holding UK Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=EQUANS Holding UK Limited,,,
Non-ICP,EQUANS Holding UK Limited,Director Customer Experience,Business Services,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=EQUANS Holding UK Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=EQUANS Holding UK Limited,,,
Non-ICP,EQUANS Holding UK Limited,CIO,Business Services,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=EQUANS Holding UK Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=EQUANS Holding UK Limited,,,
Non-ICP,EQUANS Holding UK Limited,Chief Customer Officer,Business Services,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=EQUANS Holding UK Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=EQUANS Holding UK Limited,,,
Watchlist,EUI Limited,Head of Customer Experience,Insurance,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=EUI Limited,,Car Insurance,euilimited.com,https://www.linkedin.com/search/results/companies/?keywords=EUI Limited,,Car Insurance,euilimited.com
Watchlist,EUI Limited,Director Customer Experience,Insurance,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=EUI Limited,,Car Insurance,euilimited.com,https://www.linkedin.com/search/results/companies/?keywords=EUI Limited,,Car Insurance,euilimited.com
Watchlist,EUI Limited,CIO,Insurance,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=EUI Limited,,Car Insurance,euilimited.com,https://www.linkedin.com/search/results/companies/?keywords=EUI Limited,,Car Insurance,euilimited.com
Watchlist,EUI Limited,Chief Customer Officer,Insurance,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=EUI Limited,,Car Insurance,euilimited.com,https://www.linkedin.com/search/results/companies/?keywords=EUI Limited,,Car Insurance,euilimited.com
Watchlist,Euro Car Parts Limited,Head of Customer Experience,Retail,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Euro Car Parts Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Euro Car Parts Limited,,,
Watchlist,Euro Car Parts Limited,Director Customer Experience,Retail,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Euro Car Parts Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Euro Car Parts Limited,,,
Watchlist,Euro Car Parts Limited,CIO,Retail,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Euro Car Parts Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Euro Car Parts Limited,,,
Watchlist,Euro Car Parts Limited,Chief Customer Officer,Retail,10 001 - 100 000,,https://www.linkedin.com/search/results/companies/?keywords=Euro Car Parts Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Euro Car Parts Limited,,,
Non-ICP,Euromonitor International,Head of Customer Experience,Business Services,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=Euromonitor International,,Intrusion Prevention,euromonitorinternational.com,https://www.linkedin.com/search/results/companies/?keywords=Euromonitor International,,Intrusion Prevention,euromonitorinternational.com
Non-ICP,Euromonitor International,Director Customer Experience,Business Services,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=Euromonitor International,,Intrusion Prevention,euromonitorinternational.com,https://www.linkedin.com/search/results/companies/?keywords=Euromonitor International,,Intrusion Prevention,euromonitorinternational.com
Non-ICP,Euromonitor International,CIO,Business Services,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=Euromonitor International,,Intrusion Prevention,euromonitorinternational.com,https://www.linkedin.com/search/results/companies/?keywords=Euromonitor International,,Intrusion Prevention,euromonitorinternational.com
Non-ICP,Euromonitor International,Chief Customer Officer,Business Services,1 001 - 5 000,,https://www.linkedin.com/search/results/companies/?keywords=Euromonitor International,,Intrusion Prevention,euromonitorinternational.com,https://www.linkedin.com/search/results/companies/?keywords=Euromonitor International,,Intrusion Prevention,euromonitorinternational.com
Priority,Finastra PLC,Head of Customer Experience,Banking & Financial Services,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=Finastra PLC,,Asset Managers,finastra.com,https://www.linkedin.com/search/results/companies/?keywords=Finastra PLC,,Asset Managers,finastra.com
Priority,Finastra PLC,Director Customer Experience,Banking & Financial Services,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=Finastra PLC,,Asset Managers,finastra.com,https://www.linkedin.com/search/results/companies/?keywords=Finastra PLC,,Asset Managers,finastra.com
Priority,Finastra PLC,CIO,Banking & Financial Services,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=Finastra PLC,,Asset Managers,finastra.com,https://www.linkedin.com/search/results/companies/?keywords=Finastra PLC,,Asset Managers,finastra.com
Priority,Finastra PLC,Chief Customer Officer,Banking & Financial Services,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=Finastra PLC,,Asset Managers,finastra.com,https://www.linkedin.com/search/results/companies/?keywords=Finastra PLC,,Asset Managers,finastra.com
Priority,First Central Insurance Management Ltd,Head of Customer Experience,Insurance,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=First Central Insurance Management Ltd,,,,https://www.linkedin.com/search/results/companies/?keywords=First Central Insurance Management Ltd,,,
Priority,First Central Insurance Management Ltd,Director Customer Experience,Insurance,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=First Central Insurance Management Ltd,,,,https://www.linkedin.com/search/results/companies/?keywords=First Central Insurance Management Ltd,,,
Priority,First Central Insurance Management Ltd,CIO,Insurance,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=First Central Insurance Management Ltd,,,,https://www.linkedin.com/search/results/companies/?keywords=First Central Insurance Management Ltd,,,
Priority,First Central Insurance Management Ltd,Chief Customer Officer,Insurance,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=First Central Insurance Management Ltd,,,,https://www.linkedin.com/search/results/companies/?keywords=First Central Insurance Management Ltd,,,
Watchlist,General Medical Council,Head of Customer Experience,Government & Public Sector,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=General Medical Council,,Other Services,generalmedicalcouncil.co.uk,https://www.linkedin.com/search/results/companies/?keywords=General Medical Council,,Other Services,generalmedicalcouncil.co.uk
Watchlist,General Medical Council,Director Customer Experience,Government & Public Sector,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=General Medical Council,,Other Services,generalmedicalcouncil.co.uk,https://www.linkedin.com/search/results/companies/?keywords=General Medical Council,,Other Services,generalmedicalcouncil.co.uk
Watchlist,General Medical Council,CIO,Government & Public Sector,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=General Medical Council,,Other Services,generalmedicalcouncil.co.uk,https://www.linkedin.com/search/results/companies/?keywords=General Medical Council,,Other Services,generalmedicalcouncil.co.uk
Watchlist,General Medical Council,Chief Customer Officer,Government & Public Sector,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=General Medical Council,,Other Services,generalmedicalcouncil.co.uk,https://www.linkedin.com/search/results/companies/?keywords=General Medical Council,,Other Services,generalmedicalcouncil.co.uk
Priority,GIGA INFORMATION SOLUTIONS,Head of Customer Experience,Insurance,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=GIGA INFORMATION SOLUTIONS,,,,https://www.linkedin.com/search/results/companies/?keywords=GIGA INFORMATION SOLUTIONS,,,
Priority,GIGA INFORMATION SOLUTIONS,Director Customer Experience,Insurance,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=GIGA INFORMATION SOLUTIONS,,,,https://www.linkedin.com/search/results/companies/?keywords=GIGA INFORMATION SOLUTIONS,,,
Priority,GIGA INFORMATION SOLUTIONS,CIO,Insurance,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=GIGA INFORMATION SOLUTIONS,,,,https://www.linkedin.com/search/results/companies/?keywords=GIGA INFORMATION SOLUTIONS,,,
Priority,GIGA INFORMATION SOLUTIONS,Chief Customer Officer,Insurance,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=GIGA INFORMATION SOLUTIONS,,,,https://www.linkedin.com/search/results/companies/?keywords=GIGA INFORMATION SOLUTIONS,,,
Priority,Go Car Credit,Head of Customer Experience,Banking & Financial Services,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=Go Car Credit,,Attention Required,gocarcredit.com,https://www.linkedin.com/search/results/companies/?keywords=Go Car Credit,,Attention Required,gocarcredit.com
Priority,Go Car Credit,Director Customer Experience,Banking & Financial Services,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=Go Car Credit,,Attention Required,gocarcredit.com,https://www.linkedin.com/search/results/companies/?keywords=Go Car Credit,,Attention Required,gocarcredit.com
Priority,Go Car Credit,CIO,Banking & Financial Services,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=Go Car Credit,,Attention Required,gocarcredit.com,https://www.linkedin.com/search/results/companies/?keywords=Go Car Credit,,Attention Required,gocarcredit.com
Priority,Go Car Credit,Chief Customer Officer,Banking & Financial Services,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=Go Car Credit,,Attention Required,gocarcredit.com,https://www.linkedin.com/search/results/companies/?keywords=Go Car Credit,,Attention Required,gocarcredit.com
Watchlist,Government Legal Department,Head of Customer Experience,Business Services,"10,001+",,https://www.linkedin.com/search/results/companies/?keywords=Government Legal Department,,,,https://www.linkedin.com/search/results/companies/?keywords=Government Legal Department,,,
Watchlist,Government Legal Department,Director Customer Experience,Business Services,"10,001+",,https://www.linkedin.com/search/results/companies/?keywords=Government Legal Department,,,,https://www.linkedin.com/search/results/companies/?keywords=Government Legal Department,,,
Watchlist,Government Legal Department,CIO,Business Services,"10,001+",,https://www.linkedin.com/search/results/companies/?keywords=Government Legal Department,,,,https://www.linkedin.com/search/results/companies/?keywords=Government Legal Department,,,
Watchlist,Government Legal Department,Chief Customer Officer,Business Services,"10,001+",,https://www.linkedin.com/search/results/companies/?keywords=Government Legal Department,,,,https://www.linkedin.com/search/results/companies/?keywords=Government Legal Department,,,
Priority,Gryphon Group,Head of Customer Experience,Insurance,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=Gryphon Group,,Unconditional Guarantee,gryphongroup.com,https://www.linkedin.com/search/results/companies/?keywords=Gryphon Group,,Unconditional Guarantee,gryphongroup.com
Priority,Gryphon Group,Director Customer Experience,Insurance,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=Gryphon Group,,Unconditional Guarantee,gryphongroup.com,https://www.linkedin.com/search/results/companies/?keywords=Gryphon Group,,Unconditional Guarantee,gryphongroup.com
Priority,Gryphon Group,CIO,Insurance,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=Gryphon Group,,Unconditional Guarantee,gryphongroup.com,https://www.linkedin.com/search/results/companies/?keywords=Gryphon Group,,Unconditional Guarantee,gryphongroup.com
Priority,Gryphon Group,Chief Customer Officer,Insurance,"1,001â5,000",,https://www.linkedin.com/search/results/companies/?keywords=Gryphon Group,,Unconditional Guarantee,gryphongroup.com,https://www.linkedin.com/search/results/companies/?keywords=Gryphon Group,,Unconditional Guarantee,gryphongroup.com
Watchlist,Heineken UK Limited,Head of Customer Experience,Retail & Consumer Goods,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=Heineken UK Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Heineken UK Limited,,,
Non-ICP,Heineken UK Limited,Head of Customer Experience,Manufacturing,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=Heineken UK Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Heineken UK Limited,,,
Watchlist,Heineken UK Limited,Director Customer Experience,Retail & Consumer Goods,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=Heineken UK Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Heineken UK Limited,,,
Non-ICP,Heineken UK Limited,Director Customer Experience,Manufacturing,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=Heineken UK Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Heineken UK Limited,,,
Watchlist,Heineken UK Limited,CIO,Retail & Consumer Goods,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=Heineken UK Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Heineken UK Limited,,,
Non-ICP,Heineken UK Limited,CIO,Manufacturing,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=Heineken UK Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Heineken UK Limited,,,
Watchlist,Heineken UK Limited,Chief Customer Officer,Retail & Consumer Goods,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=Heineken UK Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Heineken UK Limited,,,
Non-ICP,Heineken UK Limited,Chief Customer Officer,Manufacturing,"501â1,000",,https://www.linkedin.com/search/results/companies/?keywords=Heineken UK Limited,,,,https://www.linkedin.com/search/results/companies/?keywords=Heineken UK Limited,,,
